SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,NBA_FANTASY_PTS_RANK_ESPN,NET_ESPN,AVG_NET_ESPN
2022-23,LaMelo Ball,CHA,21.0,91.0,1803.0,21.99
2022-23,Marcus Smart,BOS,29.0,92.0,1799.0,21.94
2022-23,Christian Wood,HOU,27.0,93.0,1797.0,21.91
2022-23,Bojan Bogdanovic,UTA,34.0,94.0,1794.0,21.88
2022-23,Andre Iguodala,GSW,39.0,95.0,1793.0,21.87
2022-23,Steven Adams,MEM,29.0,96.0,1792.0,21.85
2022-23,Evan Fournier,NYK,30.0,97.0,1788.0,21.8
2022-23,Jusuf Nurkic,POR,28.0,98.0,1784.0,21.76
2022-23,Jamal Murray,DEN,25.0,99.0,1781.0,21.72
2022-23,Dennis Schroder,HOU,29.0,100.0,1780.0,21.71
2022-23,Miles Bridges,CHA,25.0,101.0,1779.0,21.7
2022-23,Will Barton,DEN,32.0,102.0,1759.0,21.45
2022-23,Kyle Kuzma,WAS,27.0,103.0,1754.0,21.39
2022-23,Dorian Finney-Smith,DAL,30.0,104.0,1753.0,21.38
2022-23,Tobias Harris,PHI,30.0,105.0,1750.0,21.34
2022-23,Eric Bledsoe,POR,33.0,106.0,1744.0,21.27
2022-23,Nicolas Batum,LAC,34.0,107.0,1732.0,21.12
2022-23,Kendrick Nunn,MIA,26.0,108.0,1710.0,20.85
2022-23,Bogdan Bogdanovic,ATL,30.0,109.0,1707.0,20.82
2022-23,Ivica Zubac,LAC,26.0,110.0,1699.0,20.72
2022-23,Dario Saric,PHX,28.0,111.0,1686.0,20.56
2022-23,Jarrett Allen,CLE,25.0,112.0,1685.0,20.55
2022-23,Goran Dragic,BKN,37.0,113.0,1681.0,20.5
2022-23,Jalen Green,HOU,21.0,114.0,1680.0,20.49
2022-23,Collin Sexton,CLE,24.0,115.0,1679.0,20.48
2022-23,Davion Mitchell,SAC,24.0,116.0,1674.0,20.41
2022-23,Bobby Portis,MIL,28.0,117.0,1667.0,20.33
2022-23,Jerami Grant,DET,29.0,118.0,1665.0,20.3
2022-23,Tyler Herro,MIA,23.0,119.0,1663.0,20.28
2022-23,Trevor Ariza,LAL,38.0,120.0,1660.0,20.24
2022-23,Kevin Huerter,ATL,24.0,122.0,1658.0,20.22
2022-23,Mason Plumlee,CHA,33.0,122.0,1658.0,20.22
2022-23,Josh Giddey,OKC,20.0,124.0,1652.0,20.15
2022-23,Jae Crowder,PHX,32.0,124.0,1652.0,20.15
2022-23,Danilo Gallinari,ATL,34.0,125.0,1651.0,20.13
2022-23,Kelly Oubre Jr.,CHA,27.0,126.0,1639.0,19.99
2022-23,Derrick Rose,NYK,34.0,127.0,1625.0,19.82
2022-23,Joe Ingles,POR,35.0,128.0,1622.0,19.78
2022-23,Kentavious Caldwell-Pope,WAS,30.0,129.0,1613.0,19.67
2022-23,Ayo Dosunmu,CHI,23.0,130.0,1611.0,19.65
2022-23,Alperen Sengun,HOU,20.0,131.0,1608.0,19.61
2022-23,Dillon Brooks,MEM,27.0,132.0,1605.0,19.57
2022-23,Jeff Green,DEN,36.0,133.0,1603.0,19.55
2022-23,Lauri Markkanen,CLE,26.0,134.0,1597.0,19.48
2022-23,RJ Barrett,NYK,23.0,135.0,1596.0,19.46
2022-23,Kyle Anderson,MEM,29.0,136.0,1591.0,19.4
2022-23,Josh Richardson,SAS,29.0,137.0,1590.0,19.39
2022-23,Lou Williams,ATL,36.0,138.0,1584.0,19.32
2022-23,Brandon Clarke,MEM,26.0,139.0,1578.0,19.24
2022-23,Mitchell Robinson,NYK,25.0,140.0,1570.0,19.15
2022-23,Jordan Poole,GSW,24.0,142.0,1557.0,18.99
2022-23,P.J. Washington,CHA,24.0,142.0,1557.0,18.99
2022-23,Jalen Brunson,DAL,26.0,143.0,1551.0,18.91
2022-23,Derrick Favors,OKC,31.0,144.0,1546.0,18.85
2022-23,Caris LeVert,CLE,28.0,145.0,1542.0,18.8
2022-23,Saddiq Bey,DET,24.0,146.0,1528.0,18.63
2022-23,Isaiah Stewart,DET,22.0,147.0,1510.0,18.41
2022-23,Malcolm Brogdon,IND,30.0,148.0,1507.0,18.38
2022-23,Markieff Morris,MIA,33.0,149.0,1492.0,18.2
2022-23,George Hill,MIL,37.0,150.0,1486.0,18.12
2022-23,Taj Gibson,NYK,38.0,151.0,1479.0,18.04
2022-23,T.J. McConnell,IND,31.0,152.0,1461.0,17.82
2022-23,Kelly Olynyk,DET,32.0,153.0,1458.0,17.78
2022-23,Tristan Thompson,CHI,32.0,154.0,1450.0,17.68
2022-23,Malik Beasley,MIN,26.0,155.0,1446.0,17.63
2022-23,Patrick Williams,CHI,21.0,156.0,1426.0,17.39
2022-23,Tim Hardaway Jr.,DAL,31.0,157.0,1410.0,17.2
2022-23,Victor Oladipo,MIA,31.0,158.0,1409.0,17.18
2022-23,Kevin Porter Jr.,HOU,23.0,159.0,1402.0,17.1
2022-23,Delon Wright,ATL,31.0,160.0,1395.0,17.01
2022-23,Dwight Powell,DAL,31.0,161.0,1390.0,16.95
2022-23,Marvin Bagley III,DET,24.0,162.0,1385.0,16.89
2022-23,Enes Freedom,BOS,31.0,163.0,1374.0,16.76
2022-23,Coby White,CHI,23.0,164.0,1370.0,16.71
2022-23,Richaun Holmes,SAC,29.0,165.0,1369.0,16.7
2022-23,Seth Curry,BKN,32.0,166.0,1363.0,16.62
2022-23,P.J. Tucker,MIA,38.0,167.0,1359.0,16.57
2022-23,Bones Hyland,DEN,22.0,168.0,1342.0,16.37
2022-23,Jaren Jackson Jr.,MEM,23.0,169.0,1340.0,16.34
2022-23,Tyus Jones,MEM,27.0,170.0,1338.0,16.32
2022-23,Patrick Beverley,MIN,34.0,171.0,1315.0,16.04
2022-23,Wendell Carter Jr.,ORL,24.0,172.0,1313.0,16.01
2022-23,Cameron Johnson,PHX,27.0,173.0,1311.0,15.99
2022-23,Justin Holiday,SAC,34.0,174.0,1308.0,15.95
2022-23,Norman Powell,LAC,30.0,175.0,1304.0,15.9
2022-23,Jeremy Lamb,SAC,31.0,176.0,1297.0,15.82
2022-23,Otto Porter Jr.,GSW,30.0,177.0,1291.0,15.74
2022-23,Spencer Dinwiddie,DAL,30.0,178.0,1290.0,15.73
2022-23,D.J. Augustin,LAL,35.0,179.0,1289.0,15.72
2022-23,Reggie Jackson,LAC,33.0,180.0,1278.0,15.59
2022-23,T.J. Warren,IND,28.0,181.0,1276.0,15.56
2022-23,Robin Lopez,ORL,35.0,182.0,1274.0,15.54
2022-23,JaVale McGee,PHX,35.0,183.0,1273.0,15.52
2022-23,Taurean Prince,MIN,29.0,184.0,1261.0,15.38
2022-23,Tomas Satoransky,WAS,31.0,185.0,1260.0,15.37
2022-23,Desmond Bane,MEM,25.0,186.0,1258.0,15.34
2022-23,Larry Nance Jr.,NOP,30.0,187.0,1256.0,15.32
2022-23,Gary Harris,ORL,28.0,188.0,1255.0,15.3
2022-23,OG Anunoby,TOR,25.0,190.0,1245.0,15.18
2022-23,Chris Duarte,IND,26.0,190.0,1245.0,15.18
2022-23,Keldon Johnson,SAS,23.0,191.0,1244.0,15.17
2022-23,Eric Gordon,HOU,34.0,192.0,1243.0,15.16
2022-23,Terrence Ross,ORL,32.0,193.0,1242.0,15.15
2022-23,Daniel Theis,BOS,31.0,194.0,1229.0,14.99
2022-23,Jaxson Hayes,NOP,23.0,195.0,1226.0,14.95
2022-23,Al-Farouq Aminu,CHI,31.0,196.0,1223.0,14.91
2022-23,Dennis Smith Jr.,POR,25.0,198.0,1222.0,14.9
2022-23,Josh Hart,POR,28.0,198.0,1222.0,14.9
2022-23,Theo Maledon,OKC,22.0,199.0,1218.0,14.85
2022-23,Darius Bazley,OKC,23.0,200.0,1216.0,14.83
2022-23,Marcus Morris Sr.,LAC,33.0,202.0,1214.0,14.8
2022-23,Elfrid Payton,PHX,29.0,202.0,1214.0,14.8
2022-23,Kent Bazemore,LAL,33.0,203.0,1212.0,14.78
2022-23,Facundo Campazzo,DEN,32.0,204.0,1210.0,14.76
2022-23,Isaac Okoro,CLE,22.0,204.0,1210.0,14.76
2022-23,Matisse Thybulle,PHI,26.0,206.0,1205.0,14.7
2022-23,Josh Jackson,SAC,26.0,207.0,1203.0,14.67
2022-23,Corey Kispert,WAS,24.0,208.0,1199.0,14.62
2022-23,Gorgui Dieng,ATL,33.0,209.0,1194.0,14.56
2022-23,De'Andre Hunter,ATL,25.0,210.0,1180.0,14.39
2022-23,Bryn Forbes,DEN,29.0,211.0,1176.0,14.34
2022-23,Daniel Gafford,WAS,24.0,212.0,1166.0,14.22
2022-23,Danny Green,PHI,36.0,214.0,1165.0,14.21
2022-23,Kevon Looney,GSW,27.0,214.0,1165.0,14.21
2022-23,Maxi Kleber,DAL,31.0,215.0,1155.0,14.09
2022-23,Immanuel Quickley,NYK,24.0,216.0,1151.0,14.04
2022-23,Landry Shamet,PHX,26.0,217.0,1139.0,13.89
2022-23,Joe Harris,BKN,31.0,218.0,1135.0,13.84
2022-23,JaMychal Green,DEN,33.0,218.0,1135.0,13.84
2022-23,Royce O'Neale,UTA,30.0,220.0,1131.0,13.79
2022-23,Josh Christopher,HOU,21.0,220.0,1131.0,13.79
2022-23,Bruce Brown,BKN,26.0,222.0,1125.0,13.72
2022-23,Cole Anthony,ORL,23.0,223.0,1112.0,13.56
2022-23,Cody Martin,CHA,27.0,224.0,1108.0,13.51
2022-23,Willie Cauley-Stein,PHI,29.0,225.0,1105.0,13.48
