SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,NBA_FANTASY_PTS_RANK_ESPN,NET_ESPN,AVG_NET_ESPN
2022-23,Jonas Valanciunas,NOP,31.0,47.5,2212.0,26.975609756097562
2022-23,Anthony Edwards,MIN,21.0,49.0,2211.0,26.963414634146343
2022-23,Jaylen Brown,BOS,26.0,50.0,2200.0,26.829268292682926
2022-23,Franz Wagner,ORL,21.0,51.0,2188.0,26.682926829268293
2022-23,Klay Thompson,GSW,33.0,52.0,2170.0,26.463414634146343
2022-23,Terry Rozier,CHA,29.0,53.0,2123.0,25.890243902439025
2022-23,Paul Millsap,PHI,38.0,54.0,2112.0,25.75609756097561
2022-23,Cade Cunningham,DET,21.0,55.0,2111.0,25.74390243902439
2022-23,Al Horford,BOS,37.0,56.0,2104.0,25.658536585365855
2022-23,Zach LaVine,CHI,28.0,57.0,2099.0,25.597560975609756
2022-23,Paul George,LAC,33.0,58.0,2085.0,25.426829268292682
2022-23,Brandon Ingram,NOP,25.0,59.0,2081.0,25.378048780487806
2022-23,Kristaps Porzingis,WAS,27.0,60.0,2072.0,25.26829268292683
2022-23,Mike Conley,UTA,35.0,61.0,2064.0,25.170731707317074
2022-23,Jakob Poeltl,SAS,27.0,62.0,2024.0,24.682926829268293
2022-23,Mikal Bridges,PHX,26.0,63.0,2016.0,24.585365853658537
2022-23,D'Angelo Russell,MIN,27.0,64.0,2009.0,24.5
2022-23,Harrison Barnes,SAC,31.0,65.0,2001.0,24.402439024390244
2022-23,Jimmy Butler,MIA,33.0,66.0,1992.0,24.29268292682927
2022-23,Thaddeus Young,TOR,35.0,67.0,1990.0,24.26829268292683
2022-23,Serge Ibaka,MIL,33.0,68.0,1988.0,24.24390243902439
2022-23,Darius Garland,CLE,23.0,69.0,1974.0,24.073170731707318
2022-23,Rudy Gay,UTA,36.0,70.0,1967.0,23.98780487804878
2022-23,Kevin Love,CLE,34.0,71.0,1946.0,23.73170731707317
2022-23,Jordan Clarkson,UTA,31.0,72.0,1943.0,23.695121951219512
2022-23,Hassan Whiteside,UTA,34.0,73.0,1938.0,23.634146341463413
2022-23,Herbert Jones,NOP,24.0,74.0,1935.0,23.597560975609756
2022-23,Lonzo Ball,CHI,25.0,75.0,1898.0,23.146341463414632
2022-23,Bam Adebayo,MIA,25.0,76.0,1890.0,23.048780487804876
2022-23,Rajon Rondo,CLE,37.0,77.0,1889.0,23.036585365853657
2022-23,Aaron Gordon,DEN,27.0,78.0,1884.0,22.975609756097562
2022-23,Robert Covington,LAC,32.0,79.0,1882.0,22.951219512195124
2022-23,John Collins,ATL,25.0,80.0,1873.0,22.841463414634145
2022-23,Myles Turner,IND,27.0,81.0,1861.0,22.695121951219512
2022-23,Brook Lopez,MIL,35.0,82.0,1859.0,22.670731707317074
2022-23,Tyrese Haliburton,IND,23.0,83.0,1858.0,22.658536585365855
2022-23,Shai Gilgeous-Alexander,OKC,24.0,84.0,1847.0,22.524390243902438
2022-23,Jae'Sean Tate,HOU,27.0,85.5,1834.0,22.365853658536587
2022-23,Montrezl Harrell,CHA,29.0,85.5,1834.0,22.365853658536587
2022-23,DeAndre Jordan,PHI,34.0,87.0,1825.0,22.25609756097561
2022-23,Gordon Hayward,CHA,33.0,88.0,1820.0,22.195121951219512
2022-23,Ricky Rubio,IND,32.0,89.0,1815.0,22.134146341463413
2022-23,De'Aaron Fox,SAC,25.0,90.0,1813.0,22.109756097560975
2022-23,LaMelo Ball,CHA,21.0,91.0,1803.0,21.98780487804878
2022-23,Marcus Smart,BOS,29.0,92.0,1799.0,21.9390243902439
2022-23,Christian Wood,HOU,27.0,93.0,1797.0,21.914634146341463
2022-23,Bojan Bogdanovic,UTA,34.0,94.0,1794.0,21.878048780487806
2022-23,Andre Iguodala,GSW,39.0,95.0,1793.0,21.865853658536587
2022-23,Steven Adams,MEM,29.0,96.0,1792.0,21.853658536585368
2022-23,Evan Fournier,NYK,30.0,97.0,1788.0,21.804878048780488
2022-23,Jusuf Nurkic,POR,28.0,98.0,1784.0,21.75609756097561
2022-23,Jamal Murray,DEN,25.0,99.0,1781.0,21.71951219512195
2022-23,Dennis Schroder,HOU,29.0,100.0,1780.0,21.70731707317073
2022-23,Miles Bridges,CHA,25.0,101.0,1779.0,21.695121951219512
2022-23,Will Barton,DEN,32.0,102.0,1759.0,21.451219512195124
2022-23,Kyle Kuzma,WAS,27.0,103.0,1754.0,21.390243902439025
2022-23,Dorian Finney-Smith,DAL,30.0,104.0,1753.0,21.378048780487806
2022-23,Tobias Harris,PHI,30.0,105.0,1750.0,21.341463414634145
2022-23,Eric Bledsoe,POR,33.0,106.0,1744.0,21.26829268292683
2022-23,Nicolas Batum,LAC,34.0,107.0,1732.0,21.121951219512194
2022-23,Kendrick Nunn,MIA,26.0,108.0,1710.0,20.853658536585368
2022-23,Bogdan Bogdanovic,ATL,30.0,109.0,1707.0,20.817073170731707
2022-23,Ivica Zubac,LAC,26.0,110.0,1699.0,20.71951219512195
2022-23,Dario Saric,PHX,28.0,111.0,1686.0,20.5609756097561
2022-23,Jarrett Allen,CLE,25.0,112.0,1685.0,20.548780487804876
2022-23,Goran Dragic,BKN,37.0,113.0,1681.0,20.5
2022-23,Jalen Green,HOU,21.0,114.0,1680.0,20.48780487804878
2022-23,Collin Sexton,CLE,24.0,115.0,1679.0,20.475609756097562
2022-23,Davion Mitchell,SAC,24.0,116.0,1674.0,20.414634146341463
2022-23,Bobby Portis,MIL,28.0,117.0,1667.0,20.329268292682926
2022-23,Jerami Grant,DET,29.0,118.0,1665.0,20.304878048780488
2022-23,Tyler Herro,MIA,23.0,119.0,1663.0,20.28048780487805
2022-23,Trevor Ariza,LAL,38.0,120.0,1660.0,20.24390243902439
2022-23,Kevin Huerter,ATL,24.0,121.5,1658.0,20.21951219512195
2022-23,Mason Plumlee,CHA,33.0,121.5,1658.0,20.21951219512195
2022-23,Josh Giddey,OKC,20.0,123.5,1652.0,20.146341463414632
2022-23,Jae Crowder,PHX,32.0,123.5,1652.0,20.146341463414632
2022-23,Danilo Gallinari,ATL,34.0,125.0,1651.0,20.134146341463413
2022-23,Kelly Oubre Jr.,CHA,27.0,126.0,1639.0,19.98780487804878
2022-23,Derrick Rose,NYK,34.0,127.0,1625.0,19.817073170731707
2022-23,Joe Ingles,POR,35.0,128.0,1622.0,19.78048780487805
2022-23,Kentavious Caldwell-Pope,WAS,30.0,129.0,1613.0,19.670731707317074
2022-23,Ayo Dosunmu,CHI,23.0,130.0,1611.0,19.646341463414632
2022-23,Alperen Sengun,HOU,20.0,131.0,1608.0,19.609756097560975
2022-23,Dillon Brooks,MEM,27.0,132.0,1605.0,19.573170731707318
2022-23,Jeff Green,DEN,36.0,133.0,1603.0,19.548780487804876
2022-23,Lauri Markkanen,CLE,26.0,134.0,1597.0,19.475609756097562
2022-23,RJ Barrett,NYK,23.0,135.0,1596.0,19.463414634146343
2022-23,Kyle Anderson,MEM,29.0,136.0,1591.0,19.402439024390244
2022-23,Josh Richardson,SAS,29.0,137.0,1590.0,19.390243902439025
2022-23,Lou Williams,ATL,36.0,138.0,1584.0,19.317073170731707
2022-23,Brandon Clarke,MEM,26.0,139.0,1578.0,19.24390243902439
2022-23,Mitchell Robinson,NYK,25.0,140.0,1570.0,19.146341463414632
2022-23,Jordan Poole,GSW,24.0,141.5,1557.0,18.98780487804878
2022-23,P.J. Washington,CHA,24.0,141.5,1557.0,18.98780487804878
2022-23,Jalen Brunson,DAL,26.0,143.0,1551.0,18.914634146341463
2022-23,Derrick Favors,OKC,31.0,144.0,1546.0,18.853658536585368
2022-23,Caris LeVert,CLE,28.0,145.0,1542.0,18.804878048780488
2022-23,Saddiq Bey,DET,24.0,146.0,1528.0,18.634146341463413
2022-23,Isaiah Stewart,DET,22.0,147.0,1510.0,18.414634146341463
2022-23,Malcolm Brogdon,IND,30.0,148.0,1507.0,18.378048780487806
2022-23,Markieff Morris,MIA,33.0,149.0,1492.0,18.195121951219512
2022-23,George Hill,MIL,37.0,150.0,1486.0,18.121951219512194
2022-23,Taj Gibson,NYK,38.0,151.0,1479.0,18.036585365853657
2022-23,T.J. McConnell,IND,31.0,152.0,1461.0,17.817073170731707
2022-23,Kelly Olynyk,DET,32.0,153.0,1458.0,17.78048780487805
2022-23,Tristan Thompson,CHI,32.0,154.0,1450.0,17.682926829268293
2022-23,Malik Beasley,MIN,26.0,155.0,1446.0,17.634146341463413
2022-23,Patrick Williams,CHI,21.0,156.0,1426.0,17.390243902439025
2022-23,Tim Hardaway Jr.,DAL,31.0,157.0,1410.0,17.195121951219512
2022-23,Victor Oladipo,MIA,31.0,158.0,1409.0,17.182926829268293
2022-23,Kevin Porter Jr.,HOU,23.0,159.0,1402.0,17.097560975609756
2022-23,Delon Wright,ATL,31.0,160.0,1395.0,17.01219512195122
2022-23,Dwight Powell,DAL,31.0,161.0,1390.0,16.951219512195124
2022-23,Marvin Bagley III,DET,24.0,162.0,1385.0,16.890243902439025
2022-23,Enes Freedom,BOS,31.0,163.0,1374.0,16.75609756097561
2022-23,Coby White,CHI,23.0,164.0,1370.0,16.70731707317073
2022-23,Richaun Holmes,SAC,29.0,165.0,1369.0,16.695121951219512
2022-23,Seth Curry,BKN,32.0,166.0,1363.0,16.621951219512194
2022-23,P.J. Tucker,MIA,38.0,167.0,1359.0,16.573170731707318
2022-23,Bones Hyland,DEN,22.0,168.0,1342.0,16.365853658536587
2022-23,Jaren Jackson Jr.,MEM,23.0,169.0,1340.0,16.341463414634145
2022-23,Tyus Jones,MEM,27.0,170.0,1338.0,16.317073170731707
2022-23,Patrick Beverley,MIN,34.0,171.0,1315.0,16.036585365853657
2022-23,Wendell Carter Jr.,ORL,24.0,172.0,1313.0,16.01219512195122
2022-23,Cameron Johnson,PHX,27.0,173.0,1311.0,15.987804878048781
2022-23,Justin Holiday,SAC,34.0,174.0,1308.0,15.951219512195122
2022-23,Norman Powell,LAC,30.0,175.0,1304.0,15.902439024390244
2022-23,Jeremy Lamb,SAC,31.0,176.0,1297.0,15.817073170731707
2022-23,Otto Porter Jr.,GSW,30.0,177.0,1291.0,15.74390243902439
2022-23,Spencer Dinwiddie,DAL,30.0,178.0,1290.0,15.731707317073171
2022-23,D.J. Augustin,LAL,35.0,179.0,1289.0,15.71951219512195
2022-23,Reggie Jackson,LAC,33.0,180.0,1278.0,15.585365853658537
2022-23,T.J. Warren,IND,28.0,181.0,1276.0,15.560975609756097
2022-23,Robin Lopez,ORL,35.0,182.0,1274.0,15.536585365853659
2022-23,JaVale McGee,PHX,35.0,183.0,1273.0,15.524390243902438
2022-23,Taurean Prince,MIN,29.0,184.0,1261.0,15.378048780487806
2022-23,Tomas Satoransky,WAS,31.0,185.0,1260.0,15.365853658536585
2022-23,Desmond Bane,MEM,25.0,186.0,1258.0,15.341463414634147
2022-23,Larry Nance Jr.,NOP,30.0,187.0,1256.0,15.317073170731707
2022-23,Gary Harris,ORL,28.0,188.0,1255.0,15.304878048780488
2022-23,OG Anunoby,TOR,25.0,189.5,1245.0,15.182926829268293
2022-23,Chris Duarte,IND,26.0,189.5,1245.0,15.182926829268293
2022-23,Keldon Johnson,SAS,23.0,191.0,1244.0,15.170731707317072
2022-23,Eric Gordon,HOU,34.0,192.0,1243.0,15.158536585365853
2022-23,Terrence Ross,ORL,32.0,193.0,1242.0,15.146341463414634
2022-23,Daniel Theis,BOS,31.0,194.0,1229.0,14.987804878048781
2022-23,Jaxson Hayes,NOP,23.0,195.0,1226.0,14.951219512195122
2022-23,Al-Farouq Aminu,CHI,31.0,196.0,1223.0,14.914634146341463
2022-23,Dennis Smith Jr.,POR,25.0,197.5,1222.0,14.902439024390244
2022-23,Josh Hart,POR,28.0,197.5,1222.0,14.902439024390244
2022-23,Theo Maledon,OKC,22.0,199.0,1218.0,14.853658536585366
2022-23,Darius Bazley,OKC,23.0,200.0,1216.0,14.829268292682928
2022-23,Marcus Morris Sr.,LAC,33.0,201.5,1214.0,14.804878048780488
